singkatan,perbaikan
ortu,orang tua
bgst,bangsat
ajg,anjing
karkel,kerja kelompok
kerkel,kerja kelompok
skrg,sekarang
kerkom,kerja kelompok
grgr,gegara
gw,gue
jgn,jangan
utk,untuk
bgt,banget
ma,sama
byk,banyak
wtf,what the fuck
otw,on the way
sgt,sangat
dh,dah
kek,kayak
keknya,kayaknya
gweh,gue
aq,aku
blokkkk,goblok
tbtb,tiba tiba
kmrn,kemarin
kl,kalau
bdr,belajar dari rumah
kgn,kangen
wlo,walau
pdhl,padahal
drpd,daripada
pen,pengen
mw,mau
btw,by the way
bcs,because
anj,anjing
bodat,bodo amat
blm,belum
jamkos,jam kosong
jamkosnya,jam kosong
org,orang
dgn,dengan
sdg,sedang
ansos,anti sosial
mapel,mata pelajaran
maba,mahasiswa baru
ily,I love you
tgl,tanggal
sikon,situasi kodisi
sitkon,situasi kodisi
imo,in my opinion
hrs,harus
yg,yang
matkul,mata kuliah
nnti,nanti
klean,kalian
gada,gaada
nymn,nyaman
smngt,semangat
skul,sekolah
lg,lagi
gmn,gimana
bkn,bukan
tdk,tidak
jd,jadi
dr,dari
bbrp,beberapa
mrpkn,merupakan
ttp,tetap
mslh,masalah
adlh,adalah
pke,pakai
ampe,sampai
ato,atau
klo,kalau
krn,karena
sklh,sekolah
bsk,besok
mingdep,menggu depan
dn,dan
sy,saya
br,baru
bntr,bentar
jg,juga
walu,walau
wlu,walau
w,gue
sbg,sebagai
skrng,sekarang
trs,terus
kyk,kayak
udh,sudah
sdh,sudah
kmbl,kembali
sblm,sebelum
tmn,teman
tp,tapi
kalo,kalau
knp,kenapa
gt,gitu
bet,banget
udah,sudah
